No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Contributors	Issues	PRs	Owner	Publisher	License
1	http	A composable, multi-platform, Future-based API for HTTP requests.	0.13.5	99.97832213310211	5613	5613	291	30	158	dart-lang	dart.dev	BSD-3-Clause	2022-12-14T23:56:15.000Z
2	intl	Contains code to deal with internationalized/localized messages, date and number formatting and parsing, bi-directional text, and other internationalization issues.	0.18.0	99.97398655972253	3618	3618	167	30	106	dart-lang	dart.dev	BSD-3-Clause	2022-12-16T17:02:46.000Z
3	flutter_svg	An SVG rendering and widget library for Flutter, which allows painting and displaying Scalable Vector Graphics 1.1 files.	1.1.6	99.96965098634294	3402	3402	385	30	136	dnfield	dnfield.dev	MIT	2022-12-16T04:07:41.000Z
4	provider	A wrapper around InheritedWidget to make them easier to use and more reusable.	6.0.5	99.96097983958379	7806	7806	465	30	12	rrousselGit	dash-overflow.net	MIT	2022-12-15T22:07:16.000Z
5	permission_handler	Permission plugin for Flutter. This plugin provides a cross-platform (iOS, Android) API to request and check permissions.	10.2.0	99.9393019726859	3318	3318	661	30	153	Baseflow	baseflow.com	MIT	2022-11-11T10:50:27.000Z
